ID_Transacao,ID_Cliente,Data,Loja
100000,10000,2026-04-25,Porto-NorteShopping
100001,10000,2026-03-28,Porto-NorteShopping
100002,10000,2026-02-28,Lisboa-Rossio
100003,10000,2026-01-30,Coimbra-Alma
100004,10000,2026-01-03,Online
100005,10000,2025-12-06,Coimbra-Alma
100006,10000,2025-11-09,Coimbra-Alma
100007,10001,2026-05-10,Lisboa-Rossio
100008,10001,2026-03-06,Online
100009,10001,2026-01-01,Porto-NorteShopping
100010,10001,2025-10-28,Porto-NorteShopping
100011,10001,2025-08-26,Coimbra-Alma
100012,10001,2025-06-24,Porto-NorteShopping
100013,10002,2025-12-13,Lisboa-Rossio
100014,10002,2025-06-15,Coimbra-Alma
100015,10002,2024-12-14,Online
100016,10002,2024-06-14,Lisboa-Rossio
100017,10002,2023-12-15,Lisboa-Rossio
100018,10002,2023-06-14,Porto-NorteShopping
100019,10002,2022-12-11,Online
100020,10002,2022-06-11,Online
100021,10002,2021-12-10,Lisboa-Rossio
100022,10002,2021-06-10,Lisboa-Rossio
100023,10002,2020-12-10,Coimbra-Alma
100024,10002,2026-05-15,Lisboa-Rossio
100025,10002,2026-04-15,Coimbra-Alma
100026,10002,2026-03-17,Porto-NorteShopping
100027,10002,2026-02-19,Lisboa-Rossio
100028,10002,2026-01-21,Porto-NorteShopping
100029,10002,2025-12-23,Lisboa-Rossio
100030,10002,2025-11-27,Lisboa-Rossio
100031,10002,2025-11-01,Online
100032,10002,2025-10-02,Lisboa-Rossio
100033,10002,2025-09-04,Porto-NorteShopping
100034,10003,2026-05-17,Coimbra-Alma
100035,10003,2026-03-25,Lisboa-Rossio
100036,10003,2026-01-27,Coimbra-Alma
100037,10003,2025-12-02,Online
100038,10003,2025-10-10,Online
100039,10003,2025-08-15,Porto-NorteShopping
100040,10003,2026-03-20,Porto-NorteShopping
100041,10003,2026-01-15,Coimbra-Alma
100042,10003,2025-11-14,Online
100043,10003,2025-09-11,Lisboa-Rossio
100044,10003,2025-07-11,Coimbra-Alma
100045,10003,2025-05-11,Lisboa-Rossio
100046,10003,2025-03-10,Online
100047,10004,2026-05-10,Online
100048,10004,2026-04-11,Coimbra-Alma
100049,10004,2026-03-13,Online
100050,10004,2026-02-12,Porto-NorteShopping
100051,10004,2026-01-17,Online
100052,10004,2025-12-21,Porto-NorteShopping
100053,10004,2025-11-21,Lisboa-Rossio
100054,10004,2026-04-29,Online
100055,10004,2026-03-20,Online
100056,10004,2026-02-07,Online
100057,10004,2025-12-30,Porto-NorteShopping
100058,10004,2025-11-20,Online
100059,10004,2025-10-11,Lisboa-Rossio
100060,10004,2025-09-02,Coimbra-Alma
100061,10004,2025-07-24,Coimbra-Alma
100062,10004,2025-06-13,Porto-NorteShopping
100063,10004,2025-05-03,Coimbra-Alma
100064,10004,2025-03-23,Online
100065,10005,2026-04-03,Coimbra-Alma
100066,10005,2026-01-07,Online
100067,10005,2025-10-14,Lisboa-Rossio
100068,10005,2025-07-17,Porto-NorteShopping
100069,10005,2025-04-19,Coimbra-Alma
100070,10005,2025-01-21,Lisboa-Rossio
100071,10006,2026-03-22,Porto-NorteShopping
100072,10006,2026-01-21,Coimbra-Alma
100073,10006,2025-11-20,Coimbra-Alma
100074,10006,2025-09-20,Porto-NorteShopping
100075,10006,2025-07-22,Online
100076,10006,2025-05-21,Porto-NorteShopping
100077,10007,2026-05-07,Lisboa-Rossio
100078,10007,2026-03-21,Coimbra-Alma
100079,10007,2026-02-03,Coimbra-Alma
100080,10007,2025-12-15,Porto-NorteShopping
100081,10007,2025-10-28,Lisboa-Rossio
100082,10007,2025-09-12,Porto-NorteShopping
100083,10007,2025-07-24,Coimbra-Alma
100084,10007,2025-06-05,Lisboa-Rossio
100085,10007,2025-04-16,Coimbra-Alma
100086,10008,2026-05-07,Online
100087,10008,2026-03-19,Online
100088,10008,2026-01-31,Lisboa-Rossio
100089,10008,2025-12-15,Coimbra-Alma
100090,10008,2025-10-30,Lisboa-Rossio
100091,10008,2025-09-15,Porto-NorteShopping
100092,10008,2026-04-15,Lisboa-Rossio
100093,10008,2026-01-09,Online
100094,10008,2025-10-05,Lisboa-Rossio
100095,10008,2025-07-03,Lisboa-Rossio
100096,10008,2025-03-29,Coimbra-Alma
100097,10008,2024-12-25,Lisboa-Rossio
100098,10008,2024-09-21,Coimbra-Alma
100099,10009,2026-05-14,Coimbra-Alma
100100,10009,2026-03-14,Coimbra-Alma
100101,10009,2026-01-16,Online
100102,10009,2025-11-19,Online
100103,10009,2025-09-19,Online
100104,10009,2025-07-22,Porto-NorteShopping
100105,10009,2025-05-25,Porto-NorteShopping
100106,10009,2026-05-09,Porto-NorteShopping
100107,10009,2026-04-05,Lisboa-Rossio
100108,10009,2026-03-02,Lisboa-Rossio
100109,10009,2026-01-31,Lisboa-Rossio
100110,10009,2025-12-30,Lisboa-Rossio
100111,10010,2026-03-17,Lisboa-Rossio
100112,10010,2026-01-11,Porto-NorteShopping
100113,10010,2025-11-07,Lisboa-Rossio
100114,10010,2025-09-03,Online
100115,10010,2025-07-02,Online
100116,10010,2025-05-02,Lisboa-Rossio
100117,10010,2025-03-02,Lisboa-Rossio
100118,10010,2024-12-31,Online
100119,10011,2026-05-02,Lisboa-Rossio
100120,10011,2026-04-13,Coimbra-Alma
100121,10011,2026-03-26,Lisboa-Rossio
100122,10011,2026-03-06,Online
100123,10011,2026-02-17,Online
100124,10011,2026-03-15,Coimbra-Alma
100125,10011,2025-09-14,Porto-NorteShopping
100126,10011,2025-03-18,Online
100127,10011,2024-09-20,Lisboa-Rossio
100128,10011,2024-03-22,Coimbra-Alma
100129,10011,2023-09-26,Lisboa-Rossio
100130,10012,2026-03-29,Lisboa-Rossio
100131,10012,2026-01-04,Coimbra-Alma
100132,10012,2025-10-12,Porto-NorteShopping
100133,10012,2025-07-20,Coimbra-Alma
100134,10012,2025-04-26,Lisboa-Rossio
100135,10012,2025-01-29,Lisboa-Rossio
100136,10012,2024-11-05,Online
100137,10012,2024-08-13,Porto-NorteShopping
100138,10012,2024-05-21,Coimbra-Alma
100139,10013,2026-05-07,Coimbra-Alma
100140,10013,2026-04-20,Porto-NorteShopping
100141,10013,2026-04-05,Coimbra-Alma
100142,10013,2026-03-23,Online
100143,10013,2026-03-08,Porto-NorteShopping
100144,10013,2026-02-20,Coimbra-Alma
100145,10013,2026-02-05,Online
100146,10013,2026-01-19,Porto-NorteShopping
100147,10013,2026-05-09,Porto-NorteShopping
100148,10013,2026-04-16,Lisboa-Rossio
100149,10013,2026-03-27,Lisboa-Rossio
100150,10013,2026-03-06,Lisboa-Rossio
100151,10013,2026-02-15,Porto-NorteShopping
100152,10013,2026-01-25,Online
100153,10013,2026-01-05,Coimbra-Alma
100154,10013,2025-12-15,Lisboa-Rossio
100155,10013,2025-11-25,Coimbra-Alma
100156,10014,2026-04-11,Online
100157,10014,2026-02-22,Online
100158,10014,2026-01-05,Porto-NorteShopping
100159,10014,2025-11-18,Online
100160,10014,2025-10-01,Online
100161,10014,2025-08-15,Lisboa-Rossio
100162,10014,2025-06-28,Online
100163,10015,2026-04-26,Online
100164,10015,2026-03-24,Coimbra-Alma
100165,10015,2026-02-19,Coimbra-Alma
100166,10015,2026-01-20,Porto-NorteShopping
100167,10015,2025-12-21,Porto-NorteShopping
100168,10016,2026-04-23,Coimbra-Alma
100169,10016,2026-03-19,Online
100170,10016,2026-02-12,Lisboa-Rossio
100171,10016,2026-01-09,Lisboa-Rossio
100172,10016,2025-12-06,Lisboa-Rossio
100173,10016,2025-11-03,Online
100174,10016,2025-10-01,Online
100175,10016,2025-08-27,Porto-NorteShopping
100176,10016,2025-07-22,Coimbra-Alma
100177,10016,2025-06-17,Lisboa-Rossio
100178,10016,2026-05-11,Coimbra-Alma
100179,10016,2026-04-21,Lisboa-Rossio
100180,10016,2026-04-01,Lisboa-Rossio
100181,10016,2026-03-12,Porto-NorteShopping
100182,10016,2026-02-22,Lisboa-Rossio
100183,10016,2026-02-02,Lisboa-Rossio
100184,10016,2026-01-15,Lisboa-Rossio
100185,10016,2025-12-27,Porto-NorteShopping
100186,10016,2025-12-07,Online
100187,10016,2025-11-17,Online
100188,10017,2026-05-18,Coimbra-Alma
100189,10017,2026-04-20,Online
100190,10017,2026-03-23,Online
100191,10017,2026-02-24,Coimbra-Alma
100192,10017,2026-01-27,Lisboa-Rossio
100193,10017,2025-12-30,Porto-NorteShopping
100194,10017,2025-12-04,Coimbra-Alma
100195,10017,2025-11-08,Lisboa-Rossio
100196,10017,2025-10-14,Coimbra-Alma
100197,10017,2025-09-19,Porto-NorteShopping
100198,10018,2026-05-11,Porto-NorteShopping
100199,10018,2026-04-03,Lisboa-Rossio
100200,10018,2026-02-25,Porto-NorteShopping
100201,10018,2026-01-15,Lisboa-Rossio
100202,10018,2025-12-09,Lisboa-Rossio
100203,10018,2025-10-31,Coimbra-Alma
100204,10018,2025-09-24,Lisboa-Rossio
100205,10018,2025-08-18,Lisboa-Rossio
100206,10018,2025-07-09,Lisboa-Rossio
100207,10018,2025-06-01,Online
100208,10018,2025-04-23,Lisboa-Rossio
100209,10018,2026-04-30,Coimbra-Alma
100210,10018,2026-03-29,Coimbra-Alma
100211,10018,2026-02-27,Porto-NorteShopping
100212,10018,2026-01-26,Lisboa-Rossio
100213,10018,2025-12-29,Lisboa-Rossio
100214,10018,2025-11-28,Online
