ID_Cliente,Produto,Categoria,Marca,Intervalo_Medio_Habito,Dias_Desde_Ultima_Compra,Total_Compras_Historico,Preco_Unitario,Target_Dias_Restantes,Data_Ultima_Compra
10000,Desodorizante Antitranspirante,Higiene,Rexona,27.8,25,7,5.99,2.8,2026-04-25
10001,Multivitamínico (60 cápsulas),Suplementos,Centrum,64.2,10,5,18.9,54.2,2026-05-10
10001,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,64.0,10,6,22.5,54.0,2026-05-10
10002,Gel Higienizante 500ml,Higiene,Marca Própria,37.5,5,7,4.99,32.5,2026-05-15
10002,Lentes de Contacto (30 unidades),Óptica,Acuvue,28.1,5,10,24.99,23.1,2026-05-15
10002,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,228.6,158,9,15.99,70.6,2025-12-13
10002,Óculos de Sol UV,Óptica,Ray-Ban,182.9,158,11,89.99,24.9,2025-12-13
10003,Multivitamínico (60 cápsulas),Suplementos,Centrum,39.4,3,12,18.9,36.4,2026-05-17
10003,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,39.4,3,12,22.5,36.4,2026-05-17
10004,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,72.2,21,6,12.5,51.2,2026-04-29
10004,Desodorizante Antitranspirante,Higiene,Rexona,28.3,10,7,5.99,18.3,2026-05-10
10004,Tónico Facial 200ml,Dermocosmética,Wells Care,40.2,21,11,9.99,19.2,2026-04-29
10005,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,131.5,133,3,12.5,-1.5,2026-01-07
10005,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,87.4,47,6,15.99,40.4,2026-04-03
10005,Óculos de Sol UV,Óptica,Ray-Ban,131.5,133,3,89.99,-1.5,2026-01-07
10006,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,91.5,59,3,12.5,32.5,2026-03-22
10006,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,61.0,59,6,28.99,2.0,2026-03-22
10007,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,48.2,13,9,12.5,35.2,2026-05-07
10007,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,120.0,60,3,15.99,60.0,2026-03-21
10007,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,121.5,156,3,28.99,-34.5,2025-12-15
10008,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,143.0,35,3,12.5,108.0,2026-04-15
10008,Multivitamínico (60 cápsulas),Suplementos,Centrum,58.5,13,5,18.9,45.5,2026-05-07
10008,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,95.2,35,7,15.99,60.2,2026-04-15
10008,Proteína em Pó 500g,Suplementos,Whey Gold,46.8,13,6,35.99,33.8,2026-05-07
10008,Óculos de Sol UV,Óptica,Ray-Ban,158.3,131,4,89.99,27.3,2026-01-09
10009,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,98.7,6,4,12.5,92.7,2026-05-14
10009,Lentes de Contacto (30 unidades),Óptica,Acuvue,32.5,11,5,24.99,21.5,2026-05-09
10009,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,48.0,45,3,3.99,3.0,2026-04-05
10009,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,59.0,6,7,28.99,53.0,2026-05-14
10010,Multivitamínico (60 cápsulas),Suplementos,Centrum,63.0,64,8,18.9,-1.0,2026-03-17
10011,Desodorizante Antitranspirante,Higiene,Rexona,27.5,37,3,5.99,-9.5,2026-04-13
10011,Gel Higienizante 500ml,Higiene,Marca Própria,18.5,18,5,4.99,0.5,2026-05-02
10011,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,270.5,66,3,15.99,204.5,2026-03-15
10011,Óculos de Sol UV,Óptica,Ray-Ban,180.2,66,6,89.99,114.2,2026-03-15
10012,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,169.2,52,5,12.5,117.2,2026-03-29
10012,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,84.6,52,9,15.99,32.6,2026-03-29
10012,Óculos de Sol UV,Óptica,Ray-Ban,148.2,136,5,89.99,12.2,2026-01-04
10013,Desodorizante Antitranspirante,Higiene,Rexona,12.7,11,14,5.99,1.7,2026-05-09
10013,Gel Higienizante 500ml,Higiene,Marca Própria,11.0,11,16,4.99,0.0,2026-05-09
10014,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,47.8,39,7,12.5,8.8,2026-04-11
10014,Tónico Facial 200ml,Dermocosmética,Wells Care,143.5,39,3,9.99,104.5,2026-04-11
10015,Lentes de Contacto (30 unidades),Óptica,Acuvue,31.5,24,5,24.99,7.5,2026-04-26
10016,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,44.3,27,8,12.5,17.3,2026-04-23
10016,Lentes de Contacto (30 unidades),Óptica,Acuvue,38.8,29,5,24.99,9.8,2026-04-21
10016,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,19.4,9,10,3.99,10.4,2026-05-11
10016,Tónico Facial 200ml,Dermocosmética,Wells Care,34.4,27,10,9.99,7.4,2026-04-23
10017,Lentes de Contacto (30 unidades),Óptica,Acuvue,42.6,30,6,24.99,12.6,2026-04-20
10017,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,26.8,2,10,3.99,24.8,2026-05-18
