ID_Transacao,Produto,Categoria,Marca,Preco_Unitario,Quantidade
100000,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100001,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100001,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100002,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100002,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100003,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100003,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100004,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100004,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100005,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100005,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100006,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100007,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,2
100007,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100008,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,2
100008,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100009,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100009,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100010,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,2
100010,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100011,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,2
100011,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100012,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,2
100013,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100013,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100014,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100014,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100015,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100016,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100016,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100017,Óculos de Sol UV,Óptica,Ray-Ban,89.99,2
100018,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100018,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100019,Óculos de Sol UV,Óptica,Ray-Ban,89.99,2
100019,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100020,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100020,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100021,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100021,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100022,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100022,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100023,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100023,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100024,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100024,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100025,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100025,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100026,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100027,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100027,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100027,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100028,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100028,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100028,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100029,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100030,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100030,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100030,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100031,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100031,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100032,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100032,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100032,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100033,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100033,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100034,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100034,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100035,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100035,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100036,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100037,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100037,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100038,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100038,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100039,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100039,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100040,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,2
100040,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100041,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100041,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100042,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100042,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100043,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100043,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100044,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100044,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100045,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,2
