Produto_A,Produto_B,Frequencia,Suporte
Desodorizante Antitranspirante,Gel Higienizante 500ml,66,14.67
Multivitamínico (60 cápsulas),Ómega-3 (60 cápsulas),57,12.67
Protetor Solar SPF50 75ml,Óculos de Sol UV,51,11.33
Lentes de Contacto (30 unidades),Soro Fisiológico (Pack 20),40,8.89
Creme Hidratante Facial 50ml,Sérum Anti-Rugas 30ml,36,8.0
Creme Hidratante Facial 50ml,Tónico Facial 200ml,34,7.56
Creme Hidratante Facial 50ml,Protetor Solar SPF50 75ml,25,5.56
Gel Higienizante 500ml,Lentes de Contacto (30 unidades),16,3.56
Multivitamínico (60 cápsulas),Proteína em Pó 500g,16,3.56
Gel Higienizante 500ml,Soro Fisiológico (Pack 20),13,2.89
Creme Hidratante Facial 50ml,Óculos de Sol UV,11,2.44
Protetor Solar SPF50 75ml,Tónico Facial 200ml,3,0.67
Sérum Anti-Rugas 30ml,Tónico Facial 200ml,3,0.67
Protetor Solar SPF50 75ml,Sérum Anti-Rugas 30ml,1,0.22
