ID_Transacao,ID_Cliente,Data,Produto,Categoria,Marca,Preco_Unitario,Loja
744167,10000,2025-01-28,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,Lisboa-Rossio
154886,10000,2025-03-29,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,Porto-NorteShopping
621430,10000,2025-05-26,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,Online
999159,10000,2025-07-23,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,Lisboa-Rossio
291335,10000,2025-09-20,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,Coimbra-Alma
429365,10000,2025-11-17,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,Lisboa-Rossio
421879,10000,2026-01-13,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,Coimbra-Alma
447449,10001,2025-05-18,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Porto-NorteShopping
358795,10001,2025-06-08,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
600186,10001,2025-06-25,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Online
249503,10001,2025-07-13,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
748143,10001,2025-08-02,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Online
691723,10001,2025-08-21,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Online
655839,10001,2025-09-10,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
431236,10001,2025-09-29,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Online
370936,10002,2025-01-25,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Coimbra-Alma
798361,10002,2025-02-24,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
168148,10002,2025-03-26,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Porto-NorteShopping
351995,10002,2025-04-27,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
672843,10002,2025-05-29,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
704365,10002,2025-06-29,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
560337,10002,2025-07-31,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Coimbra-Alma
905889,10002,2025-09-01,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Porto-NorteShopping
302283,10003,2025-04-18,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Porto-NorteShopping
323165,10003,2025-05-07,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
363160,10003,2025-05-28,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Porto-NorteShopping
123247,10003,2025-06-19,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
707086,10003,2025-07-08,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
819064,10003,2025-07-27,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
476896,10004,2025-05-22,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
220151,10004,2025-06-12,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
233767,10004,2025-07-06,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
580754,10004,2025-07-29,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
686146,10004,2025-08-21,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
400804,10004,2025-09-13,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Porto-NorteShopping
728776,10004,2025-10-05,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
130535,10004,2025-10-26,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
938688,10004,2025-11-17,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
589570,10004,2025-12-12,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
994498,10004,2026-01-04,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
723094,10005,2025-02-11,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
219176,10005,2025-03-10,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
222409,10005,2025-04-05,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Coimbra-Alma
353618,10005,2025-05-04,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
731347,10005,2025-05-29,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
511357,10005,2025-06-26,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
298286,10005,2025-07-25,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
264899,10005,2025-08-23,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
979858,10005,2025-09-19,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Porto-NorteShopping
542296,10006,2025-09-11,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Lisboa-Rossio
981691,10006,2025-10-31,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Coimbra-Alma
125939,10006,2025-12-20,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Porto-NorteShopping
642335,10006,2026-02-07,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Porto-NorteShopping
515192,10006,2026-03-29,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Online
551269,10007,2025-02-09,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Coimbra-Alma
850216,10007,2025-03-14,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Porto-NorteShopping
328576,10007,2025-04-18,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
265838,10007,2025-05-20,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
218451,10007,2025-06-20,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
139353,10007,2025-07-21,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Coimbra-Alma
414877,10007,2025-08-24,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
582690,10007,2025-09-25,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
840976,10007,2025-10-30,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Coimbra-Alma
870746,10007,2025-11-30,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
737147,10007,2026-01-01,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Porto-NorteShopping
842452,10008,2025-06-22,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
335167,10008,2025-07-06,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Porto-NorteShopping
283734,10008,2025-07-22,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Online
911774,10008,2025-08-06,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Porto-NorteShopping
206081,10008,2025-08-23,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Porto-NorteShopping
210078,10008,2025-09-07,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
233883,10009,2025-02-09,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
659042,10009,2025-03-17,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
242483,10009,2025-04-21,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Coimbra-Alma
501896,10009,2025-05-27,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
373255,10009,2025-06-30,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
108155,10009,2025-08-04,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Lisboa-Rossio
474705,10009,2025-09-06,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
654594,10009,2025-10-10,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,Online
247443,10010,2025-07-06,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
757409,10010,2025-07-28,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
907364,10010,2025-08-22,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
798376,10010,2025-09-15,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
798002,10010,2025-10-09,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
898615,10011,2025-09-02,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
478480,10011,2025-09-24,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
601157,10011,2025-10-17,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Coimbra-Alma
616349,10011,2025-11-09,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Online
837378,10011,2025-11-29,Soro Fisiológico (Pack 20),Saúde,Marca Própria,3.99,Lisboa-Rossio
881474,10012,2025-04-15,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Coimbra-Alma
736584,10012,2025-05-28,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Coimbra-Alma
138467,10012,2025-07-06,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Lisboa-Rossio
580047,10012,2025-08-18,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Coimbra-Alma
710704,10012,2025-09-28,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Coimbra-Alma
356687,10012,2025-11-06,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Coimbra-Alma
271890,10012,2025-12-17,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,Porto-NorteShopping
