Produto_A,Produto_B,Confianca_A_para_B,Confianca_B_para_A,Co_Purchase_Rate,Lift,Transacoes_com_Ambos
Desodorizante Antitranspirante,Gel Higienizante 500ml,81.48,69.47,14.67,3.86,66
Multivitamínico (60 cápsulas),Ómega-3 (60 cápsulas),66.28,83.82,12.67,4.39,57
Protetor Solar SPF50 75ml,Óculos de Sol UV,70.83,73.91,11.33,4.62,51
Lentes de Contacto (30 unidades),Soro Fisiológico (Pack 20),75.47,76.92,8.89,6.53,40
Creme Hidratante Facial 50ml,Sérum Anti-Rugas 30ml,37.11,67.92,8.0,3.15,36
Creme Hidratante Facial 50ml,Tónico Facial 200ml,35.05,75.56,7.56,3.51,34
Creme Hidratante Facial 50ml,Protetor Solar SPF50 75ml,25.77,34.72,5.56,1.61,25
Gel Higienizante 500ml,Lentes de Contacto (30 unidades),16.84,30.19,3.56,1.43,16
Multivitamínico (60 cápsulas),Proteína em Pó 500g,18.6,80.0,3.56,4.19,16
Gel Higienizante 500ml,Soro Fisiológico (Pack 20),13.68,25.0,2.89,1.18,13
Creme Hidratante Facial 50ml,Óculos de Sol UV,11.34,15.94,2.44,0.74,11
Sérum Anti-Rugas 30ml,Tónico Facial 200ml,5.66,6.67,0.67,0.57,3
Protetor Solar SPF50 75ml,Tónico Facial 200ml,4.17,6.67,0.67,0.42,3
Protetor Solar SPF50 75ml,Sérum Anti-Rugas 30ml,1.39,1.89,0.22,0.12,1
